3
4
4
3
4
3
3
3
4
3
4
4
3
3
4
3
3
3
3
4
5
4
3
3
4
4
3
4
4
3
4
3
3
3
3
4
3
4
3
4
4
4
5
4
5
4
5
6
5
6
6
5
5
6
6
5
6
6
5
5
6
6
6
6
6
4
6
6
6
6
6
6
6
6
6
6
6
6
6
5
7
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
7
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
7
6
6
6
6
6
6
6
6
7
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
7
6
7
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
7
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
7
6
6
7
6
6
6
6
6
6
7
7
6
6
6
7
6
7
6
6
6
6
6
7
6
6
6
6
7
6
6
9
6
6
6
6
6
6
6
6
7
6
7
6
6
7
6
6
6
6
6
6
7
6
6
7
7
7
6
6
7
7
7
6
6
7
6
7
6
6
6
7
6
6
7
7
7
7
7
7
7
7
7
7
7
7
7
5
5
7
5
7
6
7
7
7
7
7
7
7
7
7
7
8
7
6
7
6
6
8
7
7
6
5
7
5
7
6
7
5
6
7
5
5
5
8
7
7
7
7
7
6
7
8
5
5
7
6
5
8
7
6
7
6
5
7
7
5
6
5
5
7
